City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Sur,OM,2020-02-23 08:30:52,22.57,59.53,78.71,50,0,8.08
238,Bambous Virieux,MU,2020-02-23 08:31:19,-20.34,57.76,84.99,70,75,8.05
239,Coquimbo,CL,2020-02-23 08:30:37,-29.95,-71.34,60.6,87,99,5.35
240,Flinders,AU,2020-02-23 08:31:19,-34.58,150.86,73.99,64,100,11.41
241,Ibra,OM,2020-02-23 08:31:20,22.69,58.53,85.28,32,0,6.11
242,Shelburne,CA,2020-02-23 08:30:02,44.08,-80.2,35.6,59,1,12.75
243,San Carlos De Bariloche,AR,2020-02-23 08:31:20,-41.15,-71.31,46.4,65,0,5.82
244,Esperance,AU,2020-02-23 08:31:20,-33.87,121.9,71.6,73,40,19.46
245,Yantongshan,CN,2020-02-23 08:31:20,43.29,126.01,31.23,72,100,14.47
246,Atar,MR,2020-02-23 08:31:21,20.52,-13.05,83.73,11,100,7.38
247,Lazo,RU,2020-02-23 08:31:21,43.38,133.9,11.57,90,0,5.57
248,Djambala,CG,2020-02-23 08:31:21,-2.54,14.75,80.28,72,42,9.48
249,Le Havre,FR,2020-02-23 08:31:21,49.49,0.11,54.0,93,90,24.16
250,Atuona,PF,2020-02-23 08:31:21,-9.8,-139.03,81.27,77,0,12.37
251,Rosetown,CA,2020-02-23 08:31:22,51.55,-108.0,15.01,80,0,1.01
252,Virginia Beach,US,2020-02-23 08:28:25,36.85,-75.98,39.0,69,1,4.7
253,Saravan,AM,2020-02-23 08:31:22,39.72,45.65,48.2,66,82,4.12
254,Alexandria,EG,2020-02-23 08:31:22,31.22,29.96,59.0,62,40,3.36
255,Nyagan,RU,2020-02-23 08:31:23,62.14,65.39,27.84,94,63,11.68
256,Koumac,NC,2020-02-23 08:31:23,-20.57,164.28,73.98,87,77,3.4
257,Kaeo,NZ,2020-02-23 08:31:23,-35.1,173.78,63.0,80,0,18.43
258,Torata,PE,2020-02-23 08:31:23,-17.08,-70.84,55.35,87,100,2.86
259,Vulcan,RO,2020-02-23 08:31:23,45.38,23.27,37.2,66,100,8.03
260,Lubao,PH,2020-02-23 08:31:24,14.92,120.55,87.8,51,75,16.11
261,Gomel,BY,2020-02-23 08:31:24,52.43,30.98,39.2,86,75,20.13
